Player Name,Rounds,Fairway Percentage,Year,Avg Distance,gir,Average Putts,Average Scrambling,Average Score,Points,Wins,Top 10,Average SG Putts,Average SG Total,SG:OTT,SG:APR,SG:ARG,Money
Johnson Wagner,75,64.25,2018,286.1,67.87,28.65,65.41,70.758,338,,,0.623,0.715,-0.213,0.078,0.226,"$656,322 "
Kevin Na,91,64.13,2018,289.6,64.66,28.07,63.62,70.288,"1,183",1,4,0.533,0.801,-0.378,0.273,0.373,"$3,578,316 "
Zach Johnson,94,63.88,2018,289.8,67.43,28.62,62.35,69.911,839,,2,0.206,1.035,-0.059,0.463,0.425,"$1,957,635 "
John Huh,94,63.83,2018,287.1,65.8,28.82,57.94,70.718,480,,2,0.167,0.251,-0.11,0.24,-0.047,"$974,538 "
James Hahn,85,63.73,2018,298.7,68.29,29.5,59.62,70.896,596,,1,-0.152,0.279,0.323,0.081,0.028,"$1,386,301 "
Rod Pampling,62,63.69,2018,288.4,62.64,29.31,56.67,72.445,64,,,-0.421,-1.094,-0.095,-0.415,-0.163,"$183,806 "
Gary Woodland,96,63.69,2018,313.5,70.51,29.93,54.45,70.161,"1,044",1,3,0.007,1.066,0.803,0.484,-0.228,"$3,108,907 "
Cameron Percy,56,63.66,2018,295.6,69.56,29.36,57.3,70.909,191,,2,-0.205,0.285,0.241,0.039,0.21,"$387,612 "
Abraham Ancer,98,63.64,2018,296.1,66.49,28.91,62.69,70.659,589,,4,-0.056,0.32,0.325,0.074,-0.022,"$1,676,695 "
Ben Martin,64,63.52,2018,289.6,63.98,28.58,58.8,70.974,266,,1,0.118,-0.001,-0.142,0.119,-0.096,"$532,936 "
Branden Grace,67,63.49,2018,298.9,67.1,29.34,57.78,70.412,590,,2,0.35,0.812,0.163,0.174,0.125,"$1,529,289 "
Denny McCarthy,71,63.45,2018,295.4,68.17,29.41,59.83,70.861,267,,1,0.449,0.094,0.011,-0.347,-0.019,"$498,341 "
Aaron Wise,90,63.33,2018,302.9,68.81,29.15,56.28,70.247,"1,086",1,3,0.238,0.703,0.41,0.012,0.042,"$3,486,407 "
Jason Dufner,71,63.3,2018,297.1,64.24,29.58,58.25,71.323,557,,2,-0.058,0.011,0.256,-0.009,-0.178,"$1,497,655 "
Matt Kuchar,88,63.27,2018,288,66.81,28.85,63.6,70.461,679,,4,0.348,0.576,-0.199,0.216,0.211,"$1,720,097 "
Martin Laird,73,63.22,2018,299,65.9,28.83,59.15,70.839,443,,3,0.282,0.47,-0.045,0.024,0.209,"$1,017,580 "
Roberto Díaz,72,63.2,2018,286.3,63.73,29.21,58.56,71.731,107,,,0.168,-0.833,-0.165,-0.6,-0.237,"$235,635 "
Paul Casey,74,63.14,2018,304.3,67.84,29.07,60.58,69.85,"1,319",1,5,0.133,0.966,0.138,0.586,0.109,"$3,641,771 "
Corey Conners,97,62.99,2018,303.3,70.19,29.84,57.52,70.743,353,,1,-0.385,0.193,0.501,0.275,-0.198,"$728,296 "
Kyle Thompson,50,62.99,2018,285.3,62.44,29.61,54.02,72.673,10,,,-0.75,-1.262,-0.534,0.036,-0.014,"$24,878 "
Troy Merritt,89,62.93,2018,295.4,65.16,28.74,57.6,70.888,616,1,3,0.077,0.209,0.138,0.086,-0.092,"$1,326,989 "
Andrew Landry,82,62.92,2018,291.1,65.63,28.96,56.97,71.059,"1,116",1,5,-0.01,-0.039,0.206,-0.083,-0.152,"$2,642,179 "
Hideki Matsuyama,75,62.82,2018,302,69.29,29.21,60.8,70.022,607,,2,0.132,1.196,0.194,0.727,0.143,"$2,687,477 "
Brandt Snedeker,84,62.79,2018,293.1,65.04,28.63,60.08,70.379,"1,077",1,4,0.478,0.625,-0.145,-0.026,0.318,"$2,448,970 "
Zac Blair,64,62.76,2018,279.5,66.48,28.97,61.43,71.215,176,,,0.203,0.323,-0.345,0.072,0.394,"$330,507 "
Danny Lee,88,62.65,2018,290.6,65.05,28.56,60.81,71.196,481,,3,0.156,0.058,0.005,-0.155,0.051,"$1,269,386 "
Charles Howell III,104,62.59,2018,300.9,69.33,29.5,60.87,70.219,885,,4,0.219,0.801,0.324,0.163,0.095,"$2,179,725 "
Adam Scott,78,62.51,2018,304.6,70.66,30.15,54.85,70.42,623,,2,-0.285,0.779,0.3,0.639,0.125,"$2,237,641 "
Tom Hoge,101,62.43,2018,291.4,63.62,28.45,61.41,70.945,594,,3,-0.162,0.074,0.018,0.297,-0.079,"$1,358,542 "
Webb Simpson,95,62.34,2018,293.7,67.93,28.47,66.1,69.293,"1,710",1,7,0.692,1.432,-0.116,0.486,0.37,"$5,376,417 "
Chris Stroud,81,62.24,2018,289.8,62.94,28.78,59.96,71.628,255,,1,0.053,-0.338,-0.277,-0.056,-0.058,"$565,466 "
Bryson DeChambeau,93,62.23,2018,305.7,69.65,29.18,59.84,69.646,"1,617",1,7,0.346,1.558,0.586,0.556,0.07,"$8,094,489 "
Jonathan Randolph,71,62.18,2018,289.4,60.43,28.63,59.83,71.945,166,,1,0.115,-0.877,-0.271,-0.538,-0.182,"$453,328 "
Rory Sabbatini,91,62.05,2018,292.3,67.85,29.07,61.36,70.693,521,,1,0.059,0.358,0.217,-0.152,0.234,"$1,126,057 "
Scott Brown,102,62.03,2018,292.6,65.65,29.1,54.79,71.329,422,,2,0.049,-0.661,-0.265,-0.27,-0.175,"$1,076,678 "
Tyrrell Hatton,58,61.84,2018,298.8,66.46,29.2,62.58,70.091,550,,4,0.335,0.938,0.148,0.202,0.252,"$1,943,360 "
Alex Noren,67,61.73,2018,299.2,64.91,28.97,61.74,69.973,989,,3,0.758,1.044,0.208,0.107,-0.029,"$2,699,150 "
Patrick Cantlay,87,61.58,2018,303.1,70.69,29.8,57.58,69.899,"1,388",1,6,-0.182,1.096,0.622,0.509,0.146,"$3,963,962 "
Jordan Spieth,81,61.55,2018,299.8,70.47,29.09,61.63,69.904,945,,5,-0.034,0.83,0.271,0.409,0.184,"$2,793,536 "
J.T. Poston,73,61.53,2018,300.7,68.31,29.07,57.53,70.915,448,,2,0.135,0.138,0.381,-0.373,-0.005,"$940,661 "
Kevin Chappell,77,61.27,2018,308.6,66.52,29.64,56.28,70.839,597,,4,-0.344,0.323,0.608,0.296,-0.236,"$1,608,338 "
Shane Lowry,64,61.2,2018,300.7,68.65,30.04,53.48,70.754,296,,,-0.286,0.238,0.331,0.245,-0.052,"$696,897 "
Patrick Rodgers,97,61.14,2018,303.5,65.65,29.1,57.22,70.731,541,,3,0.561,0.232,-0.039,-0.323,0.034,"$1,287,040 "
Whee Kim,93,61.11,2018,285.8,63.55,28.7,58.56,71.477,764,,3,0.427,-0.437,-0.748,0.03,-0.146,"$1,920,340 "
Nick Taylor,94,60.94,2018,292.7,67.65,29.48,61.83,71.269,420,,2,-0.312,-0.235,0.049,0.011,0.017,"$899,373 "
Bud Cauley,55,60.81,2018,295.4,64.26,28.58,60.12,71.356,405,,2,0.367,0.461,-0.113,-0.032,0.239,"$900,591 "
Si Woo Kim,108,60.68,2018,290.8,63.78,29,57.23,71.367,893,,5,-0.168,-0.092,-0.014,-0.2,0.291,"$2,276,114 "
Nate Lashley,51,60.58,2018,293.9,68.2,29.32,60.59,70.999,168,,,0.082,0.31,0.111,0.036,0.08,"$296,650 "
Beau Hossler,104,60.47,2018,300,67.95,28.92,60,70.574,957,,5,0.685,0.584,0.281,-0.395,0.013,"$2,449,707 "
D.A. Points,63,60.47,2018,280.8,60.2,29.1,53.32,73.019,162,,1,0.11,-1.449,-1.069,-0.541,0.051,"$377,265 "
Brendan Steele,74,60.47,2018,310.3,69.24,30.36,52.56,71.021,998,1,3,-0.576,0.029,0.557,0.243,-0.195,"$2,291,128 "
Nicholas Lindheim,77,60.44,2018,293.5,68.04,29.25,53.9,71.344,272,,1,0.355,-0.323,-0.258,-0.368,-0.052,"$593,842 "
Andrew Putnam,97,60.42,2018,293.8,70.47,29.36,61.52,70.579,"1,026",1,5,0.052,0.472,-0.146,0.38,0.187,"$2,387,382 "
Jonas Blixt,67,60.3,2018,293.1,62.02,29.1,56.83,72.134,167,,,0.244,-0.547,-0.424,-0.563,0.196,"$368,518 "
Ethan Tracy,72,60.25,2018,299,64.87,29.44,54.88,72.038,157,,,-0.026,-0.813,-0.054,-0.424,-0.309,"$364,493 "
Byeong Hun An,86,60.19,2018,307.9,67.99,29.31,61.16,70.19,913,,4,-0.285,0.805,0.475,0.448,0.167,"$2,599,264 "
Marc Leishman,93,60.17,2018,298.5,66.67,28.94,59.07,70.26,"1,148",,6,0.126,0.624,-0.006,0.211,0.292,"$3,771,221 "
Sam Saunders,80,60.14,2018,302.8,65.02,28.73,55.79,70.794,420,,4,0.094,0.226,0.35,-0.081,-0.138,"$981,936 "
Anirban Lahiri,82,60.09,2018,294,64.7,28.99,58.35,70.66,555,,4,0.199,0.104,0.07,-0.285,0.12,"$1,441,205 "
Sean O'Hair,67,60.09,2018,302.7,63.84,28.97,57.56,71.479,417,,2,-0.207,-0.233,0.211,-0.073,-0.164,"$1,104,865 "
Chesson Hadley,103,60.07,2018,300,67.68,28.99,56.6,70.311,"1,122",,7,0.208,0.859,0.146,0.606,-0.102,"$2,768,863 "
Mackenzie Hughes,80,60.04,2018,294.9,66.01,29.37,54.19,71.282,227,,1,-0.177,-0.014,-0.068,0.353,-0.122,"$518,476 "
William McGirt,84,59.89,2018,289.3,67.59,29.28,62.86,70.791,449,,3,0.2,0.178,-0.306,0.091,0.194,"$933,327 "
Xander Schauffele,96,59.77,2018,304.9,65.59,29.18,57.81,70.486,"1,081",,5,0.196,0.644,0.24,0.235,-0.027,"$4,047,538 "
Dustin Johnson,77,59.46,2018,314,70.57,28.47,62.5,68.698,"2,717",3,10,0.385,2.372,0.919,0.829,0.238,"$8,457,352 "
Matt Jones,70,59.38,2018,304.5,66.49,29.02,60.16,71.112,264,,,-0.034,0.104,0.333,-0.386,0.192,"$538,681 "
Tiger Woods,68,59.35,2018,303.6,67.4,28.49,64.16,69.35,"1,162",,5,0.266,1.596,0.061,0.883,0.385,"$5,443,841 "
Billy Hurley III,70,59.24,2018,284,63.02,29.09,54.93,71.715,73,,,0.025,-0.702,-0.696,-0.17,0.139,"$145,725 "
Jon Rahm,71,59.2,2018,308.9,70.12,29.14,57.18,69.958,"1,430",1,5,-0.151,0.889,0.817,0.047,0.176,"$3,992,678 "
Ryan Palmer,69,59.11,2018,305.2,65.61,28.92,55.38,71.031,500,,2,-0.528,-0.231,0.235,0.236,-0.174,"$1,484,445 "
Harold Varner III,91,59.02,2018,308.2,67.79,29.56,58.14,70.971,474,,3,-0.024,0.125,0.204,-0.076,0.021,"$1,223,064 "
Harris English,84,58.99,2018,302.4,63.32,28.76,57.86,71.162,383,,2,0.222,-0.184,-0.219,-0.297,0.111,"$799,450 "
Greg Chalmers,56,58.9,2018,282.8,56.94,28.31,52.85,72.531,133,,1,0.79,-1.266,-0.69,-1.192,-0.174,"$288,023 "
Stephan Jaeger,81,58.76,2018,299.2,67.11,29.61,56.76,71.356,211,,,-0.144,-0.09,0.045,-0.166,0.175,"$422,260 "
Jonathan Byrd,70,58.59,2018,291.7,68.19,29.5,58.31,71.398,147,,,-0.106,-0.266,-0.542,0.043,0.339,"$267,055 "
Keith Mitchell,99,58.59,2018,312.6,69.42,29.65,56.55,70.92,659,,4,-0.504,-0.018,0.706,-0.128,-0.092,"$1,641,260 "
Martin Piller,79,58.51,2018,292.2,60.39,28.52,57.74,71.929,371,,2,0.119,-1.127,-0.248,-0.811,-0.186,"$847,304 "
Justin Thomas,91,58.41,2018,311.8,68.77,28.33,62.47,69.118,"2,634",3,8,0.272,1.835,0.408,0.844,0.311,"$8,694,821 "
Brett Stegmaier,67,58.38,2018,295.4,70.31,29.48,56.44,71.191,149,,,0.401,0.048,-0.135,0.078,-0.296,"$305,607 "
Charley Hoffman,87,58.34,2018,299.5,66.53,29.19,56.22,70.521,515,,,0.026,0.425,0.254,0.216,-0.071,"$1,400,637 "
Jason Day,75,58.32,2018,310,65.28,28.24,62.35,69.603,"1,771",2,5,0.77,1.285,0.176,-0.14,0.479,"$5,087,461 "
Bubba Watson,90,58.27,2018,313.1,68.21,29.33,56.64,70.384,"1,879",3,5,0.001,0.555,0.78,0.005,-0.231,"$5,793,748 "
Jason Kokrak,99,58.06,2018,309.5,70.37,29.59,55.11,70.444,700,,4,0.022,0.539,0.36,0.257,-0.101,"$1,794,431 "
Jhonattan Vegas,92,57.91,2018,303.6,65.17,29.43,58.6,71.275,394,,1,-0.059,0.03,0.294,-0.081,-0.124,"$1,137,444 "
Adam Schenk,86,57.67,2018,305.5,67.92,29.95,54.55,71.37,239,,1,0.13,-0.15,0.073,-0.262,-0.091,"$474,923 "
Stewart Cink,87,57.6,2018,298.1,68.58,29.53,55.69,70.44,758,,3,-0.345,0.465,0.057,0.698,0.055,"$1,887,208 "
Matt Atkins,56,57.5,2018,301.4,63.46,29.12,57.6,72.251,44,,,-0.198,-1.129,0.134,-1.039,-0.027,"$89,104 "
Talor Gooch,78,57.31,2018,298.9,63.58,28.94,59.53,71.149,308,,,0.031,-0.163,-0.322,0.075,0.053,"$654,200 "
Bill Haas,76,57.27,2018,296.2,64.79,29.23,60.34,71.028,262,,1,-0.059,0.079,-0.177,-0.052,0.368,"$638,414 "
J.B. Holmes,77,57.13,2018,306.1,65.26,29.01,57.14,70.789,640,,3,-0.207,0.549,0.565,0.159,0.032,"$1,595,942 "
Cameron Smith,85,57.03,2018,298.4,63.18,28.36,61.12,70.517,821,,5,0.115,0.219,-0.148,0.034,0.218,"$3,622,607 "
Tyrone Van Aswegen,101,56.98,2018,290.3,65.23,28.98,58.08,71.243,364,,1,-0.01,-0.323,-0.493,-0.008,0.187,"$763,584 "
Jamie Lovemark,92,56.92,2018,303.2,64.65,28.64,61.07,70.734,576,,3,0.01,0.388,-0.101,-0.04,0.519,"$1,377,286 "
Peter Malnati,87,56.86,2018,290.9,62.99,28.07,61.3,70.841,226,,,0.619,0.244,-0.372,-0.257,0.255,"$420,001 "
Brooks Koepka,64,56.85,2018,313.4,68.28,28.76,63.28,69.444,"2,012",2,5,0.168,1.22,0.658,0.232,0.162,"$7,094,047 "
Sung Kang,89,56.72,2018,293.1,63.2,29.24,52.4,71.954,480,,2,-0.235,-1.041,-0.488,-0.094,-0.225,"$1,243,309 "
Scott Stallings,96,56.57,2018,299.7,65.62,29.14,60.86,70.719,470,,2,-0.07,0.27,-0.008,0.373,-0.025,"$1,147,573 "
Shawn Stefani,76,56.52,2018,299.6,67.49,29.27,58.43,71.192,268,,1,-0.034,0.107,-0.093,0.22,0.013,"$523,204 "
Robert Garrigus,80,56.37,2018,307.9,65.28,29.2,56.84,71.457,353,,1,-0.569,-0.213,0.21,0.331,-0.186,"$702,030 "
Nick Watney,94,56.33,2018,307.5,67.96,29.26,55.68,70.862,491,,1,0.2,0.343,0.17,0.141,-0.167,"$1,402,833 "
Rob Oppenheim,74,56.26,2018,285.2,64.05,28.91,59.55,71.532,148,,,0.045,-0.542,-0.662,0.026,0.05,"$279,019 "
Grayson Murray,72,56,2018,307.3,62.5,28.94,54.32,72.091,438,,2,-0.35,-0.336,0.375,-0.347,-0.015,"$1,056,628 "
Rory McIlroy,64,55.79,2018,319.7,66.3,28.46,62.97,69.303,"1,154",1,5,0.06,1.412,0.761,0.269,0.322,"$4,410,296 "
Dominic Bozzelli,65,55.69,2018,297,60.94,28.18,58.86,71.179,190,,,0.308,-0.055,-0.244,-0.252,0.133,"$391,634 "
Patton Kizzire,92,55.59,2018,298.7,69.04,29.53,55.24,70.841,"1,386",2,4,0.03,-0.033,-0.294,0.381,-0.15,"$3,541,151 "
Matt Every,79,55.5,2018,294.2,64.59,29.24,52.51,72.044,113,,1,-0.364,-1.139,-0.437,-0.024,-0.314,"$299,162 "
Cody Gribble,71,55.45,2018,301,62.48,28.88,53.3,72.112,141,,,0.201,-0.819,-0.212,-0.696,-0.111,"$302,593 "
Wesley Bryan,69,55.41,2018,280.4,61.28,28.1,60.17,71.552,219,,,0.36,-0.454,-1.443,0.222,0.407,"$498,166 "
Lanto Griffin,80,55.27,2018,302.5,67.42,29.42,55.76,71.145,175,,,-0.096,-0.268,-0.046,-0.043,-0.084,"$358,380 "
Retief Goosen,60,55.22,2018,296.2,61.75,29.12,56.98,71.409,261,,1,-0.411,-0.497,-0.392,0.389,-0.083,"$545,364 "
Seamus Power,86,55.19,2018,302.6,65.17,28.68,63.8,70.869,377,,2,0.498,0.178,0.076,-0.392,-0.003,"$791,018 "
Charl Schwartzel,65,55.19,2018,299.5,61.11,28.74,57.88,71.349,528,,3,0.081,-0.195,-0.035,-0.168,-0.073,"$1,710,179 "
Patrick Reed,94,55.11,2018,298.1,63.57,28.33,62.94,70.106,"1,555",1,7,0.164,0.947,0.051,0.187,0.545,"$5,006,267 "
Tony Finau,105,55.09,2018,315.1,70.18,29.03,57.22,69.52,"1,509",,8,0.232,1.435,0.481,0.5,0.222,"$5,620,138 "
Trey Mullinax,75,54.94,2018,318.3,65.38,29.13,54.42,70.815,528,,3,0.072,-0.072,0.506,-0.442,-0.207,"$1,184,245 "
Martin Flores,92,54.92,2018,300,66.34,29.36,54.89,71.458,215,,,-0.289,-0.567,-0.097,-0.083,-0.098,"$449,266 "
Michael Kim,74,54.89,2018,289.9,60.63,28.54,56.05,71.662,675,1,1,0.259,-1.003,-1.023,-0.213,-0.027,"$1,379,736 "
Brandon Harkins,101,54.79,2018,303.1,65.67,28.86,55.88,70.721,528,,3,0.225,0.275,0.181,-0.006,-0.124,"$1,148,115 "
Zecheng Dou,53,54.76,2018,291.9,63.72,30,51.56,72.773,21,,,-0.667,-1.198,-0.079,-0.265,-0.187,"$90,993 "
Tom Lovelady,87,54.73,2018,315.9,67.08,29.56,52.08,71.252,332,,2,-0.049,-0.19,0.379,-0.24,-0.279,"$700,783 "
Daniel Summerhays,51,54.69,2018,287.1,56.79,27.82,54.86,73.177,89,,1,0.736,-2.105,-0.977,-1.586,-0.277,"$234,510 "
Luke List,98,54.66,2018,314.6,68.36,29.45,58.41,70.229,"1,080",,5,-0.467,0.87,0.795,0.194,0.349,"$2,710,736 "
Robert Streb,78,54.11,2018,292.6,64.94,29.51,52.89,71.905,155,,1,-0.081,-0.581,-0.68,0.096,0.084,"$411,606 "
Andrew Yun,51,53.58,2018,290.6,61.85,30.2,44.01,73.624,16,,,-0.6,-1.936,-0.457,-0.447,-0.432,"$41,566 "
Jimmy Walker,81,53.49,2018,299,61.9,28.34,59.09,70.786,719,,4,0.324,0.357,-0.437,0.304,0.166,"$2,027,312 "
Aaron Baddeley,84,53.27,2018,295.3,63.39,28.85,61.09,70.85,342,,1,-0.057,0.309,-0.345,0.117,0.595,"$725,928 "
